[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --START--
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.010525s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.020777s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.066559s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.007349s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.068863s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.012318s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.095950s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_link`  [ RunTime:0.020684s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --START--
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.062928s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.063063s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --START--
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.182721s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.183236s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --START--
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Run ContentReplace Behavior [ RunTime:0.003848s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Run TokenBuild Behavior [ RunTime:0.001260s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001096s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000923s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007390s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --START--
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000804s ]
[ 2012-08-28T20:51:02+08:00 ] /xxx2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000868s ]
[ 2012-08-28T20:51:06+08:00 ] /xxx2/?username=&password=&login=%E7%99%BB%E9%99%86&__hash__=a304877b95586d91a1c222bdc41c3c40_e80b7837a700659714909d03e3d5ce33 | INFO: Tag[ app_begin ] --START--
[ 2012-08-28T20:51:06+08:00 ] /xxx2/?username=&password=&login=%E7%99%BB%E9%99%86&__hash__=a304877b95586d91a1c222bdc41c3c40_e80b7837a700659714909d03e3d5ce33 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001258s ]
[ 2012-08-28T20:51:06+08:00 ] /xxx2/?username=&password=&login=%E7%99%BB%E9%99%86&__hash__=a304877b95586d91a1c222bdc41c3c40_e80b7837a700659714909d03e3d5ce33 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001394s ]
[ 2012-08-28T20:51:06+08:00 ] /xxx2/?username=&password=&login=%E7%99%BB%E9%99%86&__hash__=a304877b95586d91a1c222bdc41c3c40_e80b7837a700659714909d03e3d5ce33 | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.001972s ]
[ 2012-08-28T20:51:06+08:00 ] /xxx2/?username=&password=&login=%E7%99%BB%E9%99%86&__hash__=a304877b95586d91a1c222bdc41c3c40_e80b7837a700659714909d03e3d5ce33 | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000711s ]
[ 2012-08-28T20:51:06+08:00 ] /xxx2/?username=&password=&login=%E7%99%BB%E9%99%86&__hash__=a304877b95586d91a1c222bdc41c3c40_e80b7837a700659714909d03e3d5ce33 | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.001790s ]
